"Nombre","Product_Type","Internal_Reference","Sales_Price","Cost","weight"
" CALCANEO A/P Y LATERAL ","Consumable","RADIOLOGIA","162.8000030517578","100.1900","0"
" MANO AP Y OBLICUA ","Consumable","RADIOLOGIA","202","127.9100","0"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","Consumable","PINZAS","2406.697509765625","781.4000","0"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","Consumable","PINZAS","0","855.8100","0"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","Consumable","PINZAS","550.1024780273438","178.6000","0"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","Consumable","PINZAS","183.36749267578125","59.5300","0"
"173022 : ENDO CLOSE / NUEVO","Consumable","PINZAS","540","174.4200","0"
"173022 : ENDO CLOSE / USO","Consumable","PINZAS","179.0697021484375","58.1400","0"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","Consumable","PINZAS","1375.2557373046875","446.5100","0"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","Consumable","PINZAS","458.4186096191406","148.8400","0"
"174007 : RECARGA PARA VERSATAK / USO","Consumable","PINZAS","1117.3953857421875","362.7900","0"
"174023 : MULTIFIRE VERSATAK / NUEVO","Consumable","PINZAS","2148.837158203125","697.6700","0"
"174023 : MULTIFIRE VERSATAK / USO","Consumable","PINZAS","480","232.5600","0"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / NUEVO","Consumable","PINZAS","1375.2557373046875","446.5100","0"
"174317 : ENDO CLINCH II PINZA EXTRACTORA DE VESCI / USO","Consumable","PINZAS","458.4186096191406","148.8400","0"
"176630 : ENDOCLIP DE 5MM / NUEVO","Consumable","PINZAS","5300.46484375","1720.9300","0"
"176630 : ENDOCLIP DE 5MM / USO","Consumable","PINZAS","1766.8216552734375","573.6400","0"
"176643 : ENDO SHEARS*5 MM INSTRUMENT / NUEVO","Consumable","PINZAS","1547.162841796875","502.3300","0"
