"Producto","PrecioUnitario","pricelistName","ExternalID","PricelistItemsApplyOn","PricelistItemsComputePrice","PricelistItemsBasedOn","CodigoAlternativo"
" CALCANEO A/P Y LATERAL ","162.800000","PRIVADO","3","Product","Fixed Price","Sales Price","RADIOLOGIA"
" CALCANEO A/P Y LATERAL ","162.800000","PEDIATRIA","1","Product","Fixed Price","Sales Price","RADIOLOGIA"
" CALCANEO A/P Y LATERAL ","162.800000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","RADIOLOGIA"
" CALCANEO A/P Y LATERAL ","177.600000","INTENSIVO","6","Product","Fixed Price","Sales Price","RADIOLOGIA"
" CALCANEO A/P Y LATERAL ","162.800000","EMERGENCIA","4","Product","Fixed Price","Sales Price","RADIOLOGIA"
" CALCANEO A/P Y LATERAL ","162.800000","SUITE","5","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","202.000000","SUITE","5","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","202.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","221.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","202.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","202.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","RADIOLOGIA"
" MANO AP Y OBLICUA ","202.000000","PRIVADO","3","Product","Fixed Price","Sales Price","RADIOLOGIA"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","2016.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","2016.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","2016.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","2016.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"030419 : RECARGA ENDO GUIA 30-3.5 COLOR AZUL / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"030422 : RECARGA ENDO GIA II 45 3.5 RECTA / NUEVO","0.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","460.800000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","460.800000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","460.800000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","460.800000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","153.600000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","153.600000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","153.600000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"172015 : SURGINEEDLE* 120MM INSTRUMENT / USO","153.600000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","540.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","540.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","540.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","540.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","270.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","270.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","270.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"173022 : ENDO CLOSE / USO","270.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","1296.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","1296.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","1296.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","1296.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / NUEVO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","0.000000","SUITE","5","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","432.000000","EMERGENCIA","4","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","432.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","432.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"173030 : ENDO GRASP 5 MM INSTRUMENTO / USO","432.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174007 : RECARGA PARA VERSATAK / USO","960.000000","PRIVADO","3","Product","Fixed Price","Sales Price","PINZAS"
"174007 : RECARGA PARA VERSATAK / USO","960.000000","PEDIATRIA","1","Product","Fixed Price","Sales Price","PINZAS"
"174007 : RECARGA PARA VERSATAK / USO","960.000000","SEMIPRIVADO","2","Product","Fixed Price","Sales Price","PINZAS"
"174007 : RECARGA PARA VERSATAK / USO","0.000000","INTENSIVO","6","Product","Fixed Price","Sales Price","PINZAS"
